Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Apollo - dark build,Edge 18,,2019-07-10 15:20:51,2019-07-10 16:05:43,44m - 52.403s,FAILED
,,,,,,
Test Cases/COLLECTION PAGE/colour variants,Edge 18,,2019-07-10 15:20:51,2019-07-10 15:21:42,50.557s,PASSED
"callTestCase(findTestCase(""CALL - URL""), [:], STOP_ON_FAILURE)",Edge 18,,2019-07-10 15:20:51,2019-07-10 15:21:09,17.129s,PASSED
delay(2),Edge 18,,2019-07-10 15:21:09,2019-07-10 15:21:11,2.013s,PASSED
"click(findTestObject(""APOLLO- Desktop/Burger Menu/Burgermenu""))",Edge 18,,2019-07-10 15:21:11,2019-07-10 15:21:12,1.957s,PASSED
delay(2),Edge 18,,2019-07-10 15:21:12,2019-07-10 15:21:14,2.003s,PASSED
"click(findTestObject(""APOLLO- Desktop/Burger Menu/Mens chevron""))",Edge 18,,2019-07-10 15:21:14,2019-07-10 15:21:18,4.014s,PASSED
delay(2),Edge 18,,2019-07-10 15:21:18,2019-07-10 15:21:21,2.005s,PASSED
"click(findTestObject(""APOLLO- Desktop/Burger Menu/Mens - Top Chevron""))",Edge 18,,2019-07-10 15:21:21,2019-07-10 15:21:22,1.071s,PASSED
delay(2),Edge 18,,2019-07-10 15:21:22,2019-07-10 15:21:24,2.006s,PASSED
"click(findTestObject(""APOLLO- Desktop/Burger Menu/Shirts link""))",Edge 18,,2019-07-10 15:21:24,2019-07-10 15:21:25,0.981s,PASSED
"executeJavaScript(""var previewBar = document.getElementById(""preview-bar-iframe""); previewBar.style.display = ""none"";"", [])",Edge 18,,2019-07-10 15:21:25,2019-07-10 15:21:25,0.002s,NOT_RUN
delay(2),Edge 18,,2019-07-10 15:21:25,2019-07-10 15:21:27,2.008s,PASSED
"executeJavaScript(""var previewBar = document.getElementById(""preview-bar-iframe""); previewBar.style.display = ""none"";"", [])",Edge 18,,2019-07-10 15:21:27,2019-07-10 15:21:27,0.002s,NOT_RUN
delay(2),Edge 18,,2019-07-10 15:21:27,2019-07-10 15:21:29,2.003s,PASSED
"scrollToElement(findTestObject(""APOLLO- Desktop/Collection page/Blue shirt product""), 0)",Edge 18,,2019-07-10 15:21:29,2019-07-10 15:21:29,0.497s,PASSED
delay(2),Edge 18,,2019-07-10 15:21:29,2019-07-10 15:21:31,2.004s,PASSED
"click(findTestObject(""APOLLO- Desktop/Collection page/color variants/red variant""))",Edge 18,,2019-07-10 15:21:31,2019-07-10 15:21:32,0.477s,PASSED
delay(2),Edge 18,,2019-07-10 15:21:32,2019-07-10 15:21:34,2.002s,PASSED
"click(findTestObject(""APOLLO- Desktop/Collection page/color variants/Purple variant""))",Edge 18,,2019-07-10 15:21:34,2019-07-10 15:21:34,0.551s,PASSED
delay(2),Edge 18,,2019-07-10 15:21:34,2019-07-10 15:21:36,2.004s,PASSED
"click(findTestObject(""APOLLO- Desktop/Collection page/color variants/green variant""))",Edge 18,,2019-07-10 15:21:36,2019-07-10 15:21:37,0.545s,PASSED
delay(2),Edge 18,,2019-07-10 15:21:37,2019-07-10 15:21:39,2.008s,PASSED
"click(findTestObject(""APOLLO- Desktop/Collection page/color variants/Blue variant""))",Edge 18,,2019-07-10 15:21:39,2019-07-10 15:21:39,0.466s,PASSED
