Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Apollo- Desktop,Chrome 75.0.3770.100,,2019-06-18 15:52:40,2019-06-18 16:23:46,31m - 5.678s,FAILED
,,,,,,
Test Cases/COLLECTION PAGE/colour variants,Chrome 75.0.3770.100,,2019-06-18 15:52:40,2019-06-18 15:53:15,34.949s,PASSED
"callTestCase(findTestCase(""CALL - URL""), [:], STOP_ON_FAILURE)",Chrome 75.0.3770.100,,2019-06-18 15:52:40,2019-06-18 15:52:50,9.326s,PASSED
delay(2),Chrome 75.0.3770.100,,2019-06-18 15:52:50,2019-06-18 15:52:52,2.015s,PASSED
"click(findTestObject(""APOLLO- Desktop/Burger Menu/Burgermenu""))",Chrome 75.0.3770.100,,2019-06-18 15:52:52,2019-06-18 15:52:52,0.426s,PASSED
delay(2),Chrome 75.0.3770.100,,2019-06-18 15:52:52,2019-06-18 15:52:54,2.006s,PASSED
"click(findTestObject(""APOLLO- Desktop/Burger Menu/Mens chevron""))",Chrome 75.0.3770.100,,2019-06-18 15:52:54,2019-06-18 15:52:54,0.090s,PASSED
delay(2),Chrome 75.0.3770.100,,2019-06-18 15:52:54,2019-06-18 15:52:56,2.012s,PASSED
"click(findTestObject(""APOLLO- Desktop/Burger Menu/Mens - Top Chevron""))",Chrome 75.0.3770.100,,2019-06-18 15:52:56,2019-06-18 15:52:56,0.082s,PASSED
delay(2),Chrome 75.0.3770.100,,2019-06-18 15:52:56,2019-06-18 15:52:58,2.006s,PASSED
"click(findTestObject(""APOLLO- Desktop/Burger Menu/Shirts link""))",Chrome 75.0.3770.100,,2019-06-18 15:52:58,2019-06-18 15:53:00,2.008s,PASSED
delay(2),Chrome 75.0.3770.100,,2019-06-18 15:53:00,2019-06-18 15:53:02,2.004s,PASSED
"executeJavaScript(""var previewBar = document.getElementById(""preview-bar-iframe""); previewBar.style.display = ""none"";"", [])",Chrome 75.0.3770.100,,2019-06-18 15:53:02,2019-06-18 15:53:02,0.014s,PASSED
delay(2),Chrome 75.0.3770.100,,2019-06-18 15:53:02,2019-06-18 15:53:04,2.004s,PASSED
"scrollToElement(findTestObject(""APOLLO- Desktop/Collection page/Blue shirt product""), 0)",Chrome 75.0.3770.100,,2019-06-18 15:53:04,2019-06-18 15:53:05,0.070s,PASSED
delay(2),Chrome 75.0.3770.100,,2019-06-18 15:53:05,2019-06-18 15:53:07,2.005s,PASSED
"click(findTestObject(""APOLLO- Desktop/Collection page/color variants/red variant""))",Chrome 75.0.3770.100,,2019-06-18 15:53:07,2019-06-18 15:53:07,0.086s,PASSED
delay(2),Chrome 75.0.3770.100,,2019-06-18 15:53:07,2019-06-18 15:53:09,2.007s,PASSED
"click(findTestObject(""APOLLO- Desktop/Collection page/color variants/Purple variant""))",Chrome 75.0.3770.100,,2019-06-18 15:53:09,2019-06-18 15:53:09,0.162s,PASSED
delay(2),Chrome 75.0.3770.100,,2019-06-18 15:53:09,2019-06-18 15:53:11,2.006s,PASSED
"click(findTestObject(""APOLLO- Desktop/Collection page/color variants/green variant""))",Chrome 75.0.3770.100,,2019-06-18 15:53:11,2019-06-18 15:53:11,0.071s,PASSED
delay(2),Chrome 75.0.3770.100,,2019-06-18 15:53:11,2019-06-18 15:53:13,2.005s,PASSED
"click(findTestObject(""APOLLO- Desktop/Collection page/color variants/Blue variant""))",Chrome 75.0.3770.100,,2019-06-18 15:53:13,2019-06-18 15:53:13,0.097s,PASSED
delay(2),Chrome 75.0.3770.100,,2019-06-18 15:53:13,2019-06-18 15:53:15,2.004s,PASSED
"click(findTestObject(""APOLLO- Desktop/Collection page/color variants/Black variant""))",Chrome 75.0.3770.100,,2019-06-18 15:53:15,2019-06-18 15:53:15,0.083s,PASSED
,,,,,,
Test Cases/COLLECTION PAGE/Sort,Chrome 75.0.3770.100,,2019-06-18 15:53:15,2019-06-18 15:55:00,1m - 44.593s,PASSED
"callTestCase(findTestCase(""CALL - URL""), [:], STOP_ON_FAILURE)",Chrome 75.0.3770.100,,2019-06-18 15:53:16,2019-06-18 15:53:30,14.429s,PASSED
delay(2),Chrome 75.0.3770.100,,2019-06-18 15:53:30,2019-06-18 15:53:32,2.006s,PASSED
"click(findTestObject(""APOLLO- Desktop/Burger Menu/Burgermenu""))",Chrome 75.0.3770.100,,2019-06-18 15:53:32,2019-06-18 15:53:32,0.139s,PASSED
delay(2),Chrome 75.0.3770.100,,2019-06-18 15:53:32,2019-06-18 15:53:34,2.005s,PASSED
"click(findTestObject(""APOLLO- Desktop/Burger Menu/Mens chevron""))",Chrome 75.0.3770.100,,2019-06-18 15:53:34,2019-06-18 15:53:34,0.092s,PASSED
delay(2),Chrome 75.0.3770.100,,2019-06-18 15:53:34,2019-06-18 15:53:36,2.007s,PASSED
"click(findTestObject(""APOLLO- Desktop/Burger Menu/Mens - Top Chevron""))",Chrome 75.0.3770.100,,2019-06-18 15:53:36,2019-06-18 15:53:36,0.082s,PASSED
delay(2),Chrome 75.0.3770.100,,2019-06-18 15:53:36,2019-06-18 15:53:38,2.004s,PASSED
"click(findTestObject(""APOLLO- Desktop/Burger Menu/Shirts link""))",Chrome 75.0.3770.100,,2019-06-18 15:53:38,2019-06-18 15:53:41,2.864s,PASSED
delay(2),Chrome 75.0.3770.100,,2019-06-18 15:53:41,2019-06-18 15:53:43,2.005s,PASSED
"executeJavaScript(""var previewBar = document.getElementById(""preview-bar-iframe""); previewBar.style.display = ""none"";"", [])",Chrome 75.0.3770.100,,2019-06-18 15:53:43,2019-06-18 15:53:43,0.013s,PASSED
delay(2),Chrome 75.0.3770.100,,2019-06-18 15:53:43,2019-06-18 15:53:45,2.005s,PASSED
"click(findTestObject(""APOLLO- Desktop/Collection page/sort/Filter dropdown""))",Chrome 75.0.3770.100,,2019-06-18 15:53:45,2019-06-18 15:53:45,0.074s,PASSED
delay(2),Chrome 75.0.3770.100,,2019-06-18 15:53:45,2019-06-18 15:53:47,2.004s,PASSED
