Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Trial,Chrome 75.0.3770.90,,2019-06-13 18:37:33,2019-06-13 19:10:19,32m - 45.620s,FAILED
,,,,,,
Test Cases/COLLECTION PAGE/colour variants,Chrome 75.0.3770.90,,2019-06-13 18:37:34,2019-06-13 18:38:07,33.318s,PASSED
"callTestCase(findTestCase(""CALL - URL""), [:], STOP_ON_FAILURE)",Chrome 75.0.3770.90,,2019-06-13 18:37:34,2019-06-13 18:37:43,8.616s,PASSED
delay(2),Chrome 75.0.3770.90,,2019-06-13 18:37:43,2019-06-13 18:37:45,2.012s,PASSED
"click(findTestObject(""APOLLO- Desktop/Burger Menu/Burgermenu""))",Chrome 75.0.3770.90,,2019-06-13 18:37:45,2019-06-13 18:37:45,0.175s,PASSED
delay(2),Chrome 75.0.3770.90,,2019-06-13 18:37:45,2019-06-13 18:37:47,2.006s,PASSED
"click(findTestObject(""APOLLO- Desktop/Burger Menu/Mens chevron""))",Chrome 75.0.3770.90,,2019-06-13 18:37:47,2019-06-13 18:37:47,0.089s,PASSED
delay(2),Chrome 75.0.3770.90,,2019-06-13 18:37:47,2019-06-13 18:37:49,2.006s,PASSED
"click(findTestObject(""APOLLO- Desktop/Burger Menu/Mens - Top Chevron""))",Chrome 75.0.3770.90,,2019-06-13 18:37:49,2019-06-13 18:37:49,0.076s,PASSED
delay(2),Chrome 75.0.3770.90,,2019-06-13 18:37:49,2019-06-13 18:37:51,2.004s,PASSED
"click(findTestObject(""APOLLO- Desktop/Burger Menu/Shirts link""))",Chrome 75.0.3770.90,,2019-06-13 18:37:51,2019-06-13 18:37:53,1.551s,PASSED
delay(2),Chrome 75.0.3770.90,,2019-06-13 18:37:53,2019-06-13 18:37:55,2.006s,PASSED
"executeJavaScript(""var previewBar = document.getElementById(""preview-bar-iframe""); previewBar.style.display = ""none"";"", [])",Chrome 75.0.3770.90,,2019-06-13 18:37:55,2019-06-13 18:37:55,0.012s,PASSED
delay(2),Chrome 75.0.3770.90,,2019-06-13 18:37:55,2019-06-13 18:37:57,2.004s,PASSED
